Comment,Abusive
yyoo suskomalla,No
Pukaas nuvve great .,Yes
Pichi lanjokaa broo eddu,Yes
Ni amma arey nuvu videos apuu ra yaaa,Yes
Ee vishyam chinnapude thelisunte...adukuntu adukuntu lorry kindha padi sachipoy unte,No
Aa days malli life lo venakki raavu,No
Tenth pass avvu life set inter pass avvu life set btech chei life set job techuko life ivanni universal lies,No
Really aftar school life is so delicious because you smell freedom... just taste that,No
Late realisation in btech,No
"In primary I thought tenth is easy, In tenth i thought Inter is easy .",No
,No
It's a canon event for everyone,No
,No
Sri chaitanya lo porpatuna top section lo padthe telsthadhi,No
,No
Adhem ledhu bro enjoy cheyyalanukunte school lone enjoy cheyyandi college lo em vundadhu enjoy cheyyadaniki,No
Those who lose all school friends and got admission in jhatu college,No
,No
,No
kada,No
,No
Tell us Story behind it ??,No
Sri chaitanya junior college,No
Meridian hotel,No
Me watching reel sitting near dhed lakh ka ghar,No
Dude I’ve pissed on kundan Bagh gate at 2 am in the night  ghanta haunted,No
Most haunted places in this world.. Sasuraal.. (Mother in laws house),No
Present no 1 place goes to burriel ground near bhavans college sanikpuri personal experience,No
Uppal Stadium is missing,No
Anwar ul uloom,No
Hills ground Malakpet,No
Road no 12 Banjara Hills graveyard just staying nearby peaceful place with positive energy,No
Narayana and sri chaitanya are missing...,No
St Ann’s junior college-,No
Kundan Bagh is not haunted.,No
Golconda fort????,No
Inthavaruku movie trailer kuda dhekaledhu,No
Same to same raa ayaaa.. evi anni nammukonte railway station lo somasalu ammukovali  raa ayyaa,No
B.tech 1 year vs after b.tech,No
Ilane sollu dengutaru last lo bochu kuda migaldu 🏻,Yes
At last anad belike… odhlesthava ani adigi tappu chysaa mogga gudipisthavaa ani adagalisindi ani anukoni untadu…..,Yes
Ee dialogue cringe whole movie lo,No
Reyyy ah background song thesey raa,No
Ekkada enni edhava vesalu vesina anand ni okkadine love chesindhi adhira samaskaram ante,No
Good movie and message nice direction,No
Same real life to me,No
Cool rakhi cool don't get emotional.....,No
Tanu mosam cheyali ante Viraj gadi to settle ayyedi ...tanani Tanu mosam chesukundi ...last ki gudisipoyindi Anand gadi batuku ..,Yes
......gurthu pottuko rey,No
Virginity kuda vadhelisthadhi # lanja,Yes
same,No
errri poka,Yes
chudu ra Babu,No
It's me .. nenu nene tag cheskuntuna..,No
1 andarini chustham but mem matladam vallu matladithe matladatham,No
Self tag,No
1 adi maa samskaram,No
TRUE,No
Evaru ra merrantha,No
Correct  ma samskaram,No
Belongs to that category introverts,No
Ma samskaram alantidi,No
Nijamae nayya subbarao,No
Sanmuk ebsiris. .student chudandi bro chala.bagundhi,No
Adhii ma samskaram..,No
adi ma samskaram,No
u and me,No
manamee,No
it's me ....ekkada maatladithey chopputho dhenguthaarani ..bhayam,Yes
Self,No
......Adhi maa samskaram,No
,No
It's all about nethranandam only,No
maamulu samskaram kadhu,No
maname,No
Introverts,No
Last one is personal,No
Boya : Na nxt film ki fanboy dorikadu,No
Last but not least,No
Rey Entra Nuvvu Entha Talented Ga Vunnav,No
better than senseless Atlee movie,No
,No
rathika Fan Pettinddi nuvaa bro,No
Rathika fans ikkadda ayypoddu naa koduku,No
నువు సూపర్ అన్న,
Naku kuda asalu aa gali effects yanduku pedatharo ardham kadhu bro,No
Aadi mama troll ante,No
Pedda comedy movie thisadu kada,No
Big boss lo kuda na,No
Rey eyvadra nu antha talented ghaa unav,No
Bro real bro he will become winner adi antey ok meku enta ichar ela negative spread cheyadaniki,No
Pallavi Prashanth evaru love couple ah?,No
World Cup  Bigg boss cup   karma bro manake ...,No
Arey akkada matlaadeydi Cricket World Cup gurunchi ra saami,No
Alanti naa kodukulani em analo telusaa chethagani kodukulu,No
ledhu  mawa shivaji  anipistundhi,No
Cricket lo india BB lo Amar ani cheppaledaa Ramakrishnaaa,No
INDIA,No
Joke anti ante prashnth gadu Inka padda joke,No
Nalugu kadhu bro nalapai bengina thappuledhu,Yes
India,No
Adigindhi wc gurinchi,No
Ah BIGGBOSS cup tisukoni pp gani G loo pettandi ikkada matladedi cricket cup gurinchi bochuloo bb gurinchi kadu,Yes
Davidram ante idhe bro,No
veede vaadu,No
E sari vote evariki vestav ante pallavi prashanth ki annadu bro,No
vignana pradarshanalu odhu,No
Na balls lo bb....india wc raa ungamma,Yes
Pallavi Prashanth gelustadu ani makkuda thelsu ra Jaffa  kani gelichedhi sympathy valla aaa sympathy fake undhane van gurinchi ala jarguthundhi nijam ayunte vadki trolls a ochevi kaadhu guddi barre nakodukulu andharu raithu bidda ni gelipiyali ani gelpisthunnar thappa vaad akkada peekindhi m ledhu  Rahul sipligunj tasks a Aadale cup kottindu ndhuku ?? Fanbase undey adhi real fan base idhi dabba kotukunna fan base spelling lu ranodu kuda pallavi Prashanth ani comment lu  baundhanna nijanga baundhi baundhi antunteeee,No
Cricket lo nee favourite evarra ante,No
bigboss addicted 🏻🏻,No
Chi idhem song ane daggara nunchi idhe kadha correct song anetattu  aipoyindhi jeevitham,No
6yrs caller tune Boran undi antunna,No
Pori vunapudu feel theliledhu......feel thelisaka......pori ledhu.....,No
And that's y we called them as old is GOLD,No
song marchu dhagira ninchi e song loop lo vintunapudu we all grew up 🏽,No
Old is Diamond,No
Need female versionnn,No
Ma mummy ringtone Maate Rani chinnadani song !!! Evaraina call cheste ringtone valla nachedhi kadhu !!! Ippudu aa song na playlist lo undhi !!! Best songs collection anthaa mana kanna mana parents ke telusu,No
Jabilli kosam is Lub,No
Exactly thats me,No
My favourite songs all time,No
,
,
I used this tune for 5months,No
Destiny never makes you guilty,No
Old is gold,No
What if your dad listens to it,No
,
For me from the childhood my love for this song is constant,No
,
,
it,No
My favourite Love FEEL SONG,No
Old is gold abaaa,No
Eppudo 16 years back ago vinnanu 1st time till today the best lyrics for me.,No
,
,
,
Just 17 years..,No
Endhi akka antha pedha mata annav,No
Good sis,No
Sollu lanjakodka,Yes
Bahubali Lo Dhunna  Pothu Mo**da Size Dinikela Telusu Mawa....,Yes
,
Vadu inka bathike unte em gunde ra vadidhi,No
Ni puvvu pedda samudram antha untada,Yes
,
𝙳𝚑𝚞𝚗𝚗𝚊𝚙𝚘𝚝𝚑𝚞 𝚊𝚗𝚝𝚒 𝚔𝚎 𝚊𝚗𝚝𝚑𝚊 𝚕𝚎𝚟𝚞  𝚗𝚞𝚟𝚟𝚞 𝚖𝚊𝚝𝚕𝚊𝚍𝚞𝚝𝚑𝚞𝚗𝚊𝚟𝚊,Yes
,
Direct gaa face meda chopte ala akka,No
mama ne mardhal,No
kavali antey vidini aadagandi,No
Jai Telangana bacche ki gand dhulana,Yes
Meku exam me pass karate kya pucho zara,No
Meko schloarship dalwado... Pending my hai... My vote dalti agar dalwadiye touh,No
"They are making a Clear statement that "" cleaning shit can make a better politician""",No
"Jai Telangana, election hone ke baad public ki gand mein aisi pani daudana",Yes
ek vote k vastey gir Jari public,No
,
election mai jeetne k liye ye bhi karletay,No
,
itna bhi sachi nai batana tha bhai,No
,
Jai Telangana jai Telangana chote bachoon ki gand dhulana,Yes
Vote mangne ka tarrek thoda kezual haii,No
,
Asalu Kajal ni NTR love chesthadu ani cheppina pulka gadu evadra ?,Yes
Kajal ntr ni love chesthundhi Adhi ntr ki ela no cheppalo teliyaka badha padutha vuntadu,No
Veedu veedi speech la kosam Janalni erripappalni chesthey Ee insta nibba gallu mundhu venaka chudakunda postlu veyyadam,No
Malli Brindavanam lanti classic ni Ee nibba gallu andharu kalisi teesina Baby cinema tho compare cheyyadam  chi dinemma jeevitham,No
NTR Kajal Tho padukole,No
Nelaanti vallu family lo okaru undalanna,No
Bro దేవుడికి ఇద్దరు భార్యలు ఉంటారు కానీ దేవతలకు ఇద్దరు భర్తలు ఉండరు.ఈ విషయంలో ఇద్దరు సమానం కాదు.అమ్మాయికి ఇద్దరు ఉండకూడదు.,
Much appreciated,No
Great speaker for a Reason,No
🍃🏵,
NTR kajal tho Samantha romantic scenes ledu  broo movie lo,No
Super ga cheppav bro,No
Anna ni content kosam thappu cheppak anna... NTR ni Heroine em mosam cheyyale...Baby cinema lo laga Heroine verey vallatho romance & s*x cheyyale ..Dabbulakosam vadukoley..I phone lu gift la kosam love chesinattu act cheyyaledu baby cinima lo laaga,No
"Appreciate your efforts and guts for speaking this publicly... But here people doesn't even try to understand your point of view, they will only hear the hero's name you mentioned and they message their logics to support the actors and film makers of so called movie. Many messages in this chat are live examples",No
Superrrrrrr anna correct ga cheparu,No
,
100% correct,No
First a name sariga type chayandi it's meghana not meghna,No
Advance leap year,No
Le me having crush on MEGHANA,No
AM,No
My name only,No
Boys mana comment box lo chala mandhi meghana lu unaru set chesukondi enjoy,No
,
Spilling thapu meghana my  name,No
all the best meghana,No
goood night MEGHANAAAA AEEE REPLY,No
advance happy birthday,No
ayee reply meghanaa.. y meghnaaa,No
happy Diwali meghana,No
full fans ann....endu cheyyana,No
Nuv okkadivay katti erripok ayyav ra puka,Yes
Nuvu ochaka nak US ravali aney intrest ey poindi,No
Stop acting like dumbfucks in comments you all. HE IS TRYING TO HELP YOU GUYS. Be nice to him wtf?,Yes
Ignore everyone bro.,No
You do what you do!,No
Ninnu kadhu Ra Nik Visa Ichinodini Thannali,Yes
Ee jagan galu antha itlane untara?,No
University  Inversity,No
Matter antha sare broo nuvvu cheppatappudu endhuku bro uguthunnavu,No
"Also guide how to arrive without paying to Uni, as none of Uni allow to arrive without paying right.",No
Nice video ..pls upload when your net is off,No
Very good info.,No
Content kabatte follow awthunna mama,No
Bro mari ammavodi esedhi nuve na maa AP lo,No
Aslu memu ramu le mawaa nuvu vellu,No
University madda gudu mama,Yes
Really helpful andi,No
Evadra vediki visa echindi!! Bugga gadu,Yes
Adhantha kaadu kaani Ameerpet nunchi America Ela Ayya Adhi cheppu,No
ok bro,No
Just 7 lakhs,No
U are hero for advicing,No
Enduku mama gaalini oopthunav ni back tho,No
"Asal evar pay cheyyaru bro, btw andaru telsukoni ostaru",No
Documents sarigga sadvuthe nuv e video pettalsina avsram ochedi kaadu hero!,No
Ee erripuk ki visa evadra echindi,Yes
Anna nuv maa vonivee..,No
Anni tyms chaptavu raa puka,Yes
Thanku Mama love you mama,No
Daniki endhuku problem velli financial aid lo matladithey refund or review chesi nee fee lo kattestaru,No
Us ochina ochina annav ga bro endhi idhi ...,No
Andar akkadke poi kattandi ikkada katti manaodi la erripook kakandi,Yes
THIS IS REALISATION,No
Nuvvu bugga gadive,No
,
Nu okanve eripooku aynav ra edava English ranodu us pothe etlane untadi,Yes
Mosapoyav kada…. Velpo mari intiki,No
"Anduke chaduvukoni povali , orike US ochina ani video lu cheykudadhu ",No
Ok buuga jagan,No
"Arey eddi Adi I 20 amount ra andulo anni include avthay, nv chuskoni only tuition fee pay chyli",Yes
Kai kar ro chi bhiyaaa,No
nuvvu bugga gadivi kabatte kattinav ra erri,Yes
Arey bugga igo ra jgrtha,Yes
comments chudu raa,No
Visas ni edo pamphlets panchinattu panchesthey…. Ilaney untundi,No
"Arey evadra nuvvu, epdu thindi fees thappa em undadu, nekemo kani chudatanki maku chirak ga undi. 1. Univ will always be clear, it is you who missed it, if they silently charged you for food without your consent you can legally file a case and get lot of money. 2. Some universities require you to pay fee before you arrive so don’t share false info",No
Bugga means bulb a ok,No
Entra babu  nvv he poinava USA inka evvar pledha,No
Ani salu chaptavu bro,No
You don’t upload videos mama I request plz….!,No
Super TQ mama,No
Enni videos lo chepthav broo,No
Jagratha alludu,No
Anna tharuvatha Ela niladokunav?,No
,
Subtitles de  mama,No
mama hii mama,No
Super bro,No
,
,
Dayton worest college bro,No
Pora chillara,Yes
Naa anveshana part 2 laga unadu,No
Nvvhe erripukodivi ra,Yes
Bita room tiskoni untea ndhi broo,No
Ok mam,No
nothi pukugadivi ra,Yes
Ani sarlu cheyputhav badakov,Yes
choosi kattuko paisal.,No
Nuva kada Ameerpet nunchi poyindi,No
,
Error puka,Yes
,
Many people are crying in the comment section bro,No
MG chesai mama university ne,Yes
English matladatam rakapothe alane untadhi bro,No
Jagan aa Peru  thappuledhu le,No
Thamaru chadivi yelabettandi saaru,No
Tq anna,No
Modda ra nuv,Yes
Asalu evadara nv enni sarlu chebuthavuraa babu ne rendu laks lavada anntu  cut chezenadu  lavada anntu denguthunnavura sami nv happy ganey unnava kadhaa oka eripuku gadu neeku visa ecchi dobinchuko unnadu vadini dengali 1st kothaga emi iena chyara nv ennkokka sari 2lakslu annavu anntey oka room lo petti 24/7balayya babu cinimalu  esi champesthanu,Yes
,No
Em telsukokunda enduku poinav ra aatulu peekanika,Yes
Neku visa yevadu approvel chesadra babu,No
,No
Comment section chusnaka artham ayindhi.... Monallaki manollu ravadam istam ledhu... Vallu matram aadane undali ... chusthunte akkada kuda godavalu padetattu unnar kada....,No
Report chesi dobbandi ra babu veedini peeda poddi,No
60℅ aela vachindi bro scholorship,No
Madda neeku gaka ochindi prathi sari Ade chepi dobbutav entra babu,Yes
"Genuine students ki assal visa iyyadu, asal arhatha Leni students ki istunnar",No
Jaganmayya nuv emo gani nee venalala iddari ammailu vasthunnaru ga valla id lu unte cheppu,No
Nivue erra b*** ayavu maku mundhe telusu raaa babu ekadikeli vastharu raa meeru antha,Yes
Andhuku hate comments oka scam gurinchi chaptunadhu ga vinnu lekunte silent ga mengayi,No
Evadra vidu,No
Aa feel matallo chaypalaym,No
Mind blowing edit mawa,No
Apatlo dedication Ala vundedhi,No
Yela osthayi Mawa niku ilanti idea's super edit,No
Bharath band kadhu gani nen school unnappudu Telangana band ani pettevaru baita sounda రాగానే mem full happy ga feel ayyevalam vallu vacchi school band చేపించి వెళ్ళే వాళ్ళు,No
Anthakanna Inkem kaval sir,No
filmymoji lo pilla bachaa voice,No
Naku okasari kuda ila call raley,No
"Ippudu ante group lo msgs chesthunaru,appudu aithe phone chesi mari cheppevaru.aa anandham matallo chepplem.",No
AM,No
Bharath bandollu madyalo  school kii vastaru  apudu kick vere .....intiki vellipoiyevallamu,No
Avnu,No
Worst director of 100 decades,No
Skandha Ni bonda,Yes
"Firstly, Ethical hacking means the system owner allow us to hack. The name itself has ethics word in it. So firewall company ask him to hack and then offered a job. If firewall ceo listen this dialogue, his/her intention be like ""nenu Maree antha yadava la kanipistunnana, oka madiroga kuda kanapadatleda""",No
CEO Balayya ( will Revels in SKANDA-2),No
Perrrrrfect dialogue fr boya,No
Highest athi of the decade,No
ఎత్తుకెళ్లి hacking kabatte cm kuthurlani easy ga ఎత్తుకొచేశాడు,
Aa dialogue chepthunantha sepu ram navvu aapukunatundi aa expression,No
Direct ga main company aa idhi epudu petaru,No
Silent gaa lokesh gadiki elevations ichukunaru kada,No
Crack chesi hack chesada,No
Last dialogue  Aeronyevanchalaenti expect chesa,No
Boya anna plzz cinema lu teeyadam maaney,No
Cm intiki velii ammai ni kidnap chyedam entayaaa,No
Aayana Inka akkade aagipoyaaru,No
"Aa main company Peru cheppandayya, mem hack cheyyadaniki ready unnam",No
Anna Mark Zuckerberg ki Facebook ela  develop cheyalo cheppadu,No
Firewall CRACK chesi HACK cheste .. wah what a rhyming,No
Rajamouli daggara assistant director ga pani cheydam better miru,No
Yeripushpam pulse,Yes
hacker bolthe,No
"Crack chesi hack cheste , highest package of the decade, em vaadakam ayya   ",No
Haters are gonna hate don't worry boya mowa I m with haters,No
Highest package of the decade,No
Worst rewies of the decade itcharu papam   movie ki,No
Tollywood Lingusamy,No
Endhuku amma antha harsh ga thayarayyav,No
నెను కుడ ante andi.... పాపం ma పిల్లలు,
part 2 kavala guys,No
Amma tho mamulu ga ledu ga,No
Amma kottalanna titattalanna pedda reason akkarledu,No
same nalage unnaru ammalu andharu,No
Koduku age chinna ga ne undhi amma kenduku thella entukalu vachinayi,No
Hard truth  sad truth.  Reality,No
Last vadi expression,No
Same maa intlo situation baya aa matalu vinadaniki super ...,No
Finally Thappu matram pillaldhae,No
Yevari thappu ayina kuuda thannulu maathram manake just mom things,No
Climax mamulga ledhu ga....,No
Sachindu koduku,No
ఇలాంటి వాళ్ళం నేను మా అమ్మ మాత్రమే అనుకున్న ఇంకా ఉన్నారు అని ఇప్పుడే తెలిసింది,
amma lu appudu anthe,No
వేరే లెవల్ అసాల్,
Super Sai,No
same antha anthuna,No
Mummy tho pettukunte mataashe,No
Musti ethukondi....   Nd ending,No
Awnu awnu nejami,No
"Adantha ok gani, video lo ayina drink waste antha evaru clean chestharu? ",No
Actually That dialogue is Na gudda Anna dengu anna,Yes
Rey movie enni saarlu idhi gamaninchaledhu raa,No
Chaarii  entraa edhii,No
Friend:-Gpay also accepted,No
Na gudda anna dengu anna,Yes
Mod good chi poindira babu,Yes
Rotte gaadi doilog gurthosthundhi,Yes
Guda echeyali anthe maya,Yes
est example,No
tigorrr,No
yamantav,No
bro,No
nee reaction idhe kadha ra,No
29th deniki holiday bayya,No
Sem exams vunai antuna,No
Meanwhile nov30 mid exam,No
Maaku 27 nunchi mid exams ademma .,No
Attendance ledh antuna,No
"20-24 exams no classes,25 only for attendance from 26th we will follow    ",No
Dec 4 -mid,No
27 holiday estara engineering college ki,No
Sem exams plan chesaru ma clg vallu,No
Internals practicals unnai  Antunna exams antunna,No
I have wonderla trip on 28th and 29th holiday elections 30th nov and take leave to school on Friday and Saturday holiday and Sunday and on Monday relative marriage up to 6 or 7 days village,No
Ivanni maaku mamuley,No
bro ts ka ap ka bro,No
27th nundi mid 1 exams,No
"మళ్లా వీడు KTR ని అంటాడు పిచ్చనా కొడుకు సరిగా ఇంగ్లీష్,హిందీ కూడా మాట్లాడలేడు  ",
ఎందుకు అయినడో తెలియదు. నీకూ. ...వీనికి అకూ తెలియదు పుకూ తెలియదు మళ్లీ కెసిఆర్ నీ కేటీఆర్ నీ తిడుతాడూ పుగడు పొయ్ స్కూల్ జాయిన్ ఆవ్వు  ముందు. అయ్యి. తెలుగు .. ఇంగ్లీష్ హిందీ నేర్చుకో. పుకా.,
Bye bye Tata Telangana pappu,Yes
"Congress kunna konchem paruvu poindi, e Jail uncle valla",No
Ee lanjodku mana state ki cm ayyi baguparuathadata.... Microsoft office Ida pettale ani vallu vasthe veedu Anand Mahindra garu meeku congratulations antadu...,Yes
. ఎం రా బాలరాజు నీ వల్ల ఉపయోగం,
Telangana Pappu,Yes
రాహుల్ గాంధీ అందుకే పప్పు,
Nadendla bhaskara rao ani antademo ankunna,No
Inka nayyam instagram ceo anlev,No
Potti na koduku,Yes
Elanti valani nammi support chese ninja kodukulani cheppu tho kottali elanti valu deshane mogga gudupu tharu jai Telangana and please think twice before you vote and jai Telangana,Yes
Papu kadhu edu erri papu,Yes
One more Ap loads of he comes in to power,No
Wipro infosys ki nadella enduku vastadu ra,No
Perlu companies kooda gurthu undai veedu  companies ni shasisthadanta,No
Vidu cm aitay telangana andhralaga aithadi,No
Boker,No
Mari endhuku ra gattiga matladutharu ponggudu koddi,No
Vedu cm aithy maro jagan gadu,No
Vedu e over action ke moddala gudustadu,Yes
Congress ke big minus,No
కాంగ్రెస్ పార్టీ ని నాశనం చేసి వరకు నువ్వు ఉండాలి అన్నా,
Veedu KTR ni Thidthadu. Gitlantodu mana ki Govt lo ki ravala veendini MLA cheyyadame ekkuva,No
Worest party Congress party....,No
I hate my mind,No
Adentoo akka Anni problems Mee intlo ney vuntaayyy endukooo,No
Carrot halwa ki inta buildup ah akka,No
Neenu inka bio lo link undi antaremo anukunna,No
Doremon akka fans,No
Haha papam chandini akka,No
Best Useful Tip - ChefGPT,No
Enty adi house aa ladies hostel aaa,No
Denikaina sare maa gadget akka ey goppa,No
What if we only have water to drink,No
Akka super akka me chelli,No
Hey that  not fair,No
Adhi thinna tarvaatha eh hospital povaalo kuda cheptundhaa,No
1 I saw this one already my frds are using,No
Carrots okkate yenduku unnaii Abba,No
Gadget akka,No
Okkk teesukone velle UKG loo padayandhi...,No
YouTube lo search chesthy radha,No
Baking soda,No
Peddanana : nenu vellakapovadame manchidi indi,No
63 Like nadhe,No
Studies ki chat gpt  coocking ki chef gpt ah aha vere levelu varmaa,No
Carret ....    endhuku adi matramee unnai,No
Nuvvu super akka,No
Waah akka waahh,No
Your white dress link plz,No
ur dress from?,No
Halwaa emo kani lo twist adhur's,No
Chilaka la untadi voice so chilaka GPT Ani pettuko Peru,No
This site doesn't work properly .,No
Share ur dresses link too,No
Enti akka ne feet ki mettalu unay. Nek pelli ipoyinda epudu,No
Ahaaa creativity,No
Last dialogue and expression .. highlight akka,No
Pedananna:- seeing this reel from cornerside,No
Thaadu vndhi kadha ..ani dhooda konnadanta okadu no offence jfn,No
Okra adigithe avacado sandwich cheppindhi,No
Swiggy rip Zomato rip,No
Nah it's not working properly...,No
"Hi, could you please share about the food processor used for carrots grating",No
Super information akka,No
Naaa opinion lo Pushpa taravata Baga attitude vachindi anipistadi,No
Haters to shed,No
Allu Arjun,No
Anduke TFI  Evvadiki possible avvani National Best actor award kotti Troll chesina vallaki gunapam dhimpaadu,No
I am a prabhas fan but undoubtedly AA is a legend,No
Manchi vallakki ive rojulu kadhu andaniki best example bunny anna,No
bhAAi before AVPL is .,No
I am fan Prabhas Please no troll Any Tollywood Actors,No
"I'm not from andra, but andra people don't know before their fav actors known to outside AP, alluarjun is a star in entire India",No
AA fans assemble,No
Full respect 🏼,No
Allu arjun is the first South Indian actor to collab with Instagram and first telugu hero to win national award so proud anna,No
Let them brothers we are enough to make our hero superstar #weloveyoualluarjun,No
Nijanga yedupu ochesindhi bro,No
My favourite One Allu Arjun,No
Bro just dropped masterpeice edit,No
bhAAi,No
Bangaram bro ma Allu Arjun anna,No
National award winner ra luchaas.......,No
Golden heart,No
My co fan allu arjun,No
bhAAii,No
Ala troll chesina vallandariki allu arjun fan ga happy children's day,No
AA  PRABOSS,No
Prabhas fans supporting allu arjun,No
Chethabadi akkarledu mawa... Ma Peru ke padipotharu,No
Naa peru tho modhati meme mawa  apudu chudalle,No
"Yashwanth's, ASSEMBLE",No
chesi 10gavu kada ra,Yes
......thappu bro ...,No
em chesav Anna,No
well done,No
hello mowa.,No
yee ra Yem Chesav ??,No
chesava ra,No
nuvey ra anniyaa          Adenti photo kuda modda varake pettav,No
ఇక జబర్దస్త్ మొడ్డ వరకు పోతాది.....,
ఐతే వెంటనే దేశంలో ఎమర్జెన్సీ ప్రకటించండి,
Hyper adi to u sekhar:- dialogue చెప్పనీకి రాదు ఇలాంటి కొడుకుని ఎం అంటారో శాతగాని కొడుకు,Yes
Selected enduku le bro akkada edho audition avtunnattu......evadu erii pappa ithe vadine pilistaru,No
మొడ్డ గుడిసి పోయావు రా సాలే,
Ni fans ni sulli kostha ani antunaru anna,Yes
Five star  hotel gate Mundu welcome cheppe security la unnadu.,No
Mothaniki moddagaadu saadhinchaadu,Yes
Already okadni bb ki pampincharu ga trollers brooss,No
Raja  kaja,No
jabardast kudaa modda  varake pothadi,Yes
Etla ithe.... Moddala show ki vellag,Yes
Shaker Anna kotha num teskonidi frends 9381189890,No
set anuko Inka me anna life,No
Sirdevi drama company ki velthadu ankunna kani Jabardasth ki vellindu,No
oreeey,No
Jabardast  modalodast,Yes
Modavaraku vachindi ra puka,Yes
సూపర్ ఉంది బ్రో పవన్ కళ్యాణ్ ఫ్యాన్స్ లైక్ కొట్టండి,
వామ్మో సూపర్ ఎడిటింగ్,
Abba emi editing bro veree levell,No
కథ  డైరెక్టర్  స్క్రీన్ ప్లే. రామ్ bopala కుర్మా,
అదిరింది డైలాగ్ దెబ్బఅదుర్స్ కదు 🐷🦍🫏🐎,
Back fire....,No
Chala gap undhi  hearts are near but holes are far,No
Enjoy pandagow,No
lanja,Yes
పెంట ముండ,
Mandhilo masala kalapadam elaney,No
Veree level pspk kalyan fans  jai janasen ✡✡✡✡,No
Anna Navu apukoleka pothunna Anna,No
Modda guduvu,Yes
Bike trouble eyyakapothe vadi vattala badha telisedhi kadu,Yes
Yakkuva pindeste vaachipothai mawa,No
Very level vatakayalu Varma,Yes
Mawa ee oka video vadheleei mawa,No
Swaaarry raa,No
Ilanti scrap chusta ani telusuntey chinnappudey vattalu  cycle kinda peetti  chasthunti,Yes
బ్రో బాగానే చేశాడు బ్రో వాడిని దెంగకు ఈ వీడియో గుడ్,
Nice broo,No
Bigg fan of you bro,No
pichikayalu picsikese touching video broo,Yes
Hearttouching  handstouching,No
Swarry ra,No
,
Kocham bhaga troll cheyadhaniki try chey bro,No
Diniki Treatment Shasanala Grandham Lo Kooda Vundadh Anna,No
E singer I'd antidi bro,No
we lot a enjoy sir,No
Madyalo Oppenheimer ost correct ga vadav kada bhai,No
Bigboss anna story full emotional,No
Chi Neeyamma Em Torturer ra,Yes
